Tank,Picture_Name,Date,Snail,Snail_abundance,Diameter,Biomass,Cercariae,Week,Sampling_Effort,Total_Biomass
25,P1000832,6/16/2016,11,13,14.426,28.82099809,694,4,3,433.1653008
25,P1000832,6/16/2016,19,13,16.049,39.68397471,97,4,3,433.1653008
25,P1000832,6/16/2016,21,13,15.443,35.35625418,268,4,3,433.1653008
26,P1000833,6/16/2016,1,16,18.164,57.53150203,78,4,3,652.2101185
26,P1000833,6/16/2016,4,16,14.638,30.1103956,1444,4,3,652.2101185
26,P1000833,6/16/2016,7,16,17.504,51.48528806,35,4,3,652.2101185
26,P1000833,6/16/2016,8,16,16.036,39.58761844,3338,4,3,652.2101185
26,P1000833,6/16/2016,9,16,15.786,37.76482951,228,4,3,652.2101185
26,P1000833,6/16/2016,15,16,18.378,59.58898316,64,4,3,652.2101185
26,P1000833,6/16/2016,16,16,18.099,56.91607895,674,4,3,652.2101185
26,P1000833,6/16/2016,18,16,17.404,50.60791637,1930,4,3,652.2101185
26,P1000833,6/16/2016,24,16,9.554,8.371956129,1702,4,3,652.2101185
27,P1000834,6/16/2016,7,32,16.894,46.28803051,2733,4,3,503.0475791
30,P1000836,6/16/2016,14,12,16.949,46.74158898,86,4,3,475.7521318
30,P1000836,6/16/2016,16,12,15.576,36.27764182,714,4,3,475.7521318
31,P1000839,6/16/2016,2,34,14.297,28.05472297,853,4,3,515.7295443
32,P1000842,6/16/2016,2,7,13.427,23.23850578,91,4,3,160.3063055
32,P1000842,6/16/2016,5,7,10.936,12.5558679,64,4,3,160.3063055
32,P1000842,6/16/2016,10,7,16.287,41.47577618,174,4,3,160.3063055
32,P1000842,6/16/2016,15,7,13.079,21.47805016,1186,4,3,160.3063055
34,P1000843,6/16/2016,6,41,19.24,68.37328343,55,4,3,1424.348213
34,P1000843,6/16/2016,10,41,18.311,58.93963214,2,4,3,1424.348213
34,P1000843,6/16/2016,14,41,17.125,48.21286875,342,4,3,1424.348213
34,P1000843,6/16/2016,17,41,18.986,65.70095202,3,4,3,1424.348213
34,P1000843,6/16/2016,18,41,16.56,43.59656079,1,4,3,1424.348213
34,P1000843,6/16/2016,21,41,15.638,36.71257607,115,4,3,1424.348213
34,P1000843,6/16/2016,22,41,21.458,94.85035396,115,4,3,1424.348213
37,P1000847,6/16/2016,6,69,11.785,15.71303195,2201,4,3,179.1713
37,P1000847,6/16/2016,7,69,12.857,20.40281843,2003,4,3,179.1713
39,P1000848,6/16/2016,4,37,14.228,27.65048813,664,4,3,324.4356652
39,P1000848,6/16/2016,15,37,15.356,34.76206308,1107,4,3,324.4356652
39,P1000848,6/16/2016,16,37,17.212,48.95141445,6085,4,3,324.4356652
40,P1000851,6/16/2016,12,61,15.876,38.41443976,10,4,3,504.4089269
40,P1000851,6/16/2016,13,61,17.386,50.45105576,1613,4,3,504.4089269
40,P1000851,6/16/2016,18,61,17.445,50.966423,1342,4,3,504.4089269
43,P1000857,6/16/2016,10,24,16.406,42.39155569,125,4,3,563.5412775
43,P1000857,6/16/2016,14,24,17.316,49.84412362,170,4,3,563.5412775
45,P1000860,6/16/2016,3,53,17.498,51.43236202,248,4,3,422.6365002
45,P1000860,6/16/2016,18,53,17.173,48.61941654,1018,4,3,422.6365002
3,P1000876,6/22/2016,4,42,17.396,50.53816047,10,5,3,470.2934729
3,P1000876,6/22/2016,7,42,19.075,66.62924205,1212,5,3,470.2934729
4,P1000874,6/22/2016,3,6,16.571,43.68349572,55,5,3,274.8066707
5,P1000875,6/22/2016,5,11,19.553,71.76479256,30,5,3,598.1512617
5,P1000875,6/22/2016,6,11,18.974,65.57645294,3,5,3,598.1512617
6,P1000880,6/22/2016,3,69,20.454,82.14970115,211,5,3,500.2878665
6,P1000880,6/22/2016,8,69,17.628,52.58723767,545,5,3,500.2878665
8,P1000879,6/22/2016,9,57,5.645,1.726883627,259,5,3,128.216399
9,P1000885,6/22/2016,2,90,15.002,32.41296173,103,5,3,125.6967768
14,P1000883,6/22/2016,5,14,14.693,30.4510778,776,5,3,239.4530108
17,P1000887,6/22/2016,12,160,15.692,37.09421044,291,5,3,509.427535
19,P1000890,6/22/2016,1,74,18.598,61.75469245,175,5,3,836.7707781
19,P1000890,6/22/2016,3,74,16.093,40.01126358,512,5,3,836.7707781
19,P1000890,6/22/2016,6,74,16.538,43.42303712,380,5,3,836.7707781
19,P1000890,6/22/2016,9,74,15.28,34.24847954,23,5,3,836.7707781
19,P1000890,6/22/2016,11,74,16.532,43.37579252,730,5,3,836.7707781
19,P1000890,6/22/2016,12,74,15.447,35.38373491,304,5,3,836.7707781
19,P1000890,6/22/2016,13,74,14.872,31.57761776,538,5,3,836.7707781
19,P1000890,6/22/2016,14,74,11.35,14.0364996,1687,5,3,836.7707781
19,P1000890,6/22/2016,17,74,10.379,10.73341123,376,5,3,836.7707781
19,P1000890,6/22/2016,19,74,10.136,9.997030996,1,5,3,836.7707781
19,P1000890,6/22/2016,20,74,9.54,8.335206374,1,5,3,836.7707781
19,P1000890,6/22/2016,22,74,10.61,11.46614382,234,5,3,836.7707781
19,P1000893,6/22/2016,11,74,8.868,6.694964621,730,5,3,836.7707781
19,P1000898,6/22/2016,6,74,5.458,1.560888306,1,5,3,836.7707781
21,P1000892,6/22/2016,6,78,16.406,42.39155569,3137,5,3,645.7904464
24,P1000900,6/22/2016,7,98,11.36,14.07363318,390,5,3,319.441493
25,P1000915,6/23/2016,1,37,14.45,28.9650828,972,5,3,255.0827236
25,P1000915,6/23/2016,2,37,16.418,42.48464435,1464,5,3,255.0827236
25,P1000915,6/23/2016,6,37,14.301,28.07827692,876,5,3,255.0827236
26,P1000914,6/23/2016,4,6,17.145,48.38198711,3133,5,3,258.7840619
26,P1000914,6/23/2016,5,6,19.683,73.20573586,4158,5,3,258.7840619
27,P1000916,6/23/2016,2,35,15.053,32.74465492,136,5,3,365.6915172
27,P1000916,6/23/2016,3,35,17.65,52.7843724,152,5,3,365.6915172
27,P1000916,6/23/2016,4,35,19.722,73.64174933,235,5,3,365.6915172
27,P1000916,6/23/2016,7,35,13.746,24.93447634,281,5,3,365.6915172
27,P1000916,6/23/2016,8,35,15.694,37.1083956,1005,5,3,365.6915172
30,P1000917,6/23/2016,1,35,18.228,58.14177589,1127,5,3,446.3056357
30,P1000917,6/23/2016,3,35,16.023,39.49141828,995,5,3,446.3056357
30,P1000917,6/23/2016,5,35,17.241,49.19926203,38,5,3,446.3056357
32,P1000921,6/23/2016,3,13,15.885,38.47980748,321,5,3,198.6584711
33,P1000922,6/23/2016,1,85,16.755,45.15486306,413,5,3,169.8983937
33,P1000922,6/23/2016,2,85,10.942,12.57654544,108,5,3,169.8983937
34,P1000925,6/23/2016,1,88,18.11,57.01991742,1464,5,3,521.6672748
34,P1000925,6/23/2016,3,88,18.46,60.39017987,1411,5,3,521.6672748
34,P1000925,6/23/2016,5,88,18.535,61.12924109,1729,5,3,521.6672748
34,P1000925,6/23/2016,8,88,14.854,31.46309864,134,5,3,521.6672748
34,P1000925,6/23/2016,14,88,16.798,45.50341211,63,5,3,521.6672748
36,P1000924,6/23/2016,5,53,14.573,29.71105872,466,5,3,459.5320706
36,P1000924,6/23/2016,7,53,17.901,55.06848272,145,5,3,459.5320706
36,P1000924,6/23/2016,8,53,16.664,44.42311452,1305,5,3,459.5320706
37,P1000932,6/23/2016,4,85,12.985,21.01827621,32,5,3,241.3962996
37,P1000932,6/23/2016,9,85,7.649,4.296207172,264,5,3,241.3962996
40,P1000933,6/23/2016,2,42,16.095,40.02618295,826,5,3,103.4139233
41,P1000937,6/23/2016,7,56,19.33,69.33727908,221,5,3,453.2915985
42,P1000941,6/23/2016,1,215,13.656,24.44791108,314,5,3,825.6122421
42,P1000941,6/23/2016,14,215,8.575,6.05304105,1,5,3,825.6122421
42,P1000941,6/23/2016,16,215,18.748,63.26100216,167,5,3,825.6122421
42,P1000941,6/23/2016,19,215,17.996,55.94988349,3,5,3,825.6122421
42,P1000941,6/23/2016,22,215,14.259,27.83161705,22,5,3,825.6122421
42,P1000944,6/23/2016,8,215,8.418,5.726615142,314,5,3,825.6122421
42,P1000944,6/23/2016,9,215,8.871,6.701761539,6,5,3,825.6122421
42,P1000944,6/23/2016,12,215,7.973,4.865601373,129,5,3,825.6122421
42,P1000944,6/23/2016,14,215,8.245,5.380754939,4,5,3,825.6122421
42,P1000944,6/23/2016,18,215,7.325,3.77306355,96,5,3,825.6122421
42,P1000944,6/23/2016,19,215,6.744,2.944583796,3,5,3,825.6122421
43,P1000939,6/23/2016,10,19,9.968,9.508134597,1550,5,3,575.8238903
45,P1000943,6/23/2016,4,77,17.583,52.18553755,32,5,3,262.8917007
2,P1000957,6/29/2016,2,76,18.919,65.00784428,218,6,3,870.7467047
2,P1000957,6/29/2016,8,76,18.081,56.74643352,165,6,3,870.7467047
2,P1000957,6/29/2016,16,76,11.263,13.71618978,1,6,3,870.7467047
3,P1000959,6/29/2016,2,42,17.103,48.02729426,66,6,3,556.3670365
3,P1000959,6/29/2016,5,42,18.053,56.48321121,112,6,3,556.3670365
3,P1000959,6/29/2016,10,42,17.527,51.6885076,5,6,3,556.3670365
3,P1000959,6/29/2016,11,42,4.502,0.875966918,41,6,3,556.3670365
3,P1000959,6/29/2016,13,42,4.541,0.898929719,5,6,3,556.3670365
5,P1000964,6/29/2016,5,114,19.88,75.42587781,1084,6,3,701.3896925
8,P1000971,6/29/2016,4,119,14.432,28.85697436,241,6,3,280.285824
13,P1000973,6/29/2016,1,29,18.359,59.40435689,433,6,3,141.8683558
17,P1000975,6/29/2016,3,108,18.208,57.95060405,130,6,3,361.4356197
17,P1000975,6/29/2016,6,108,14.763,30.88837721,185,6,3,361.4356197
19,P1000981,6/29/2016,8,75,15.553,36.11717297,297,6,3,409.490448
21,P1000982,6/29/2016,15,230,19.299,69.00422004,975,6,3,1389.501351
21,P1000988,6/29/2016,5,230,8.249,5.388590038,2,6,3,1389.501351
21,P1000988,6/29/2016,7,230,8.262,5.414106631,2,6,3,1389.501351
21,P1000988,6/29/2016,17,230,9.172,7.407358622,1,6,3,1389.501351
21,P1000988,6/29/2016,23,230,8.282,5.453520017,2,6,3,1389.501351
24,P1000986,6/29/2016,2,131,12.585,19.1351069,334,6,3,417.2297799
24,P1000986,6/29/2016,10,131,13.343,22.80508478,1973,6,3,417.2297799
24,P1000986,6/29/2016,23,131,8.959,6.903190254,598,6,3,417.2297799
25,P1000987,6/29/2016,1,25,14.287,27.99589572,90,6,3,64.35240898
25,P1000987,6/29/2016,2,25,13.83,25.39438932,1471,6,3,64.35240898
30,P1001003,6/29/2016,4,78,14.78,30.99520658,38,6,3,271.4375449
30,P1001003,6/29/2016,6,78,18.103,56.9538238,43,6,3,271.4375449
33,P1001008,6/29/2016,3,121,18.075,56.68996005,182,6,3,500.8016338
33,P1001008,6/29/2016,4,121,18.22,58.06525678,228,6,3,500.8016338
33,P1001008,6/29/2016,5,121,16.917,46.47734177,33,6,3,500.8016338
34,P1001009,6/29/2016,2,73,19.521,71.41302295,161,6,3,502.9256884
34,P1001009,6/29/2016,8,73,19.156,67.4816539,42,6,3,502.9256884
36,P1001016,6/29/2016,10,69,14.5,29.2668,60,6,3,760.8553513
37,P1001019,6/29/2016,4,70,10.878,12.35715222,55,6,3,217.9350057
39,P1001018,6/29/2016,2,18,15.712,37.23622487,103,6,3,247.0409278
40,P1001022,6/29/2016,2,24,14.186,27.40634368,208,6,3,179.4400981
40,P1001022,6/29/2016,3,24,16.875,46.13203125,235,6,3,179.4400981
42,P1001035,6/29/2016,4,151,14.07040789,26.7418406,1388,6,3,855.0672191
45,P1001037,6/29/2016,3,56,19.319,69.21897445,22,6,3,500.6694049
2,P1010059,7/6/2016,2,74,17.751,53.69572431,93,7,3,423.8670513
2,P1010059,7/6/2016,6,74,11.705,15.39520539,2,7,3,423.8670513
2,P1010059,7/6/2016,10,74,10.531,11.21192209,364,7,3,423.8670513
2,P1010059,7/6/2016,18,74,9.046,7.106258202,31,7,3,423.8670513
2,P1010062,7/6/2016,9,74,6.979,3.263253617,118,7,3,423.8670513
5,P1010066,7/6/2016,1,174,20.77,86.01629312,1127,7,3,875.8933729
8,P1010070,7/6/2016,1,202,14.258,27.82576187,48,7,3,217.2611561
13,P1010076,7/6/2016,1,55,17.398,50.55559343,179,7,3,263.9220163
18,P1010087,7/6/2016,19,113,11.028,12.87542298,1,7,3,1014.487432
18,P1010091,7/6/2016,9,113,6.138,2.219994433,1,7,3,1014.487432
18,P1010091,7/6/2016,10,113,7.342,3.799394359,1,7,3,1014.487432
18,P1010091,7/6/2016,15,113,8.836,6.622749898,3,7,3,1014.487432
18,P1010091,7/6/2016,22,113,8.587,6.078488813,284,7,3,1014.487432
18,P1010091,7/6/2016,23,113,7.921,4.771020393,3,7,3,1014.487432
19,P1010090,7/6/2016,1,63,16.309,41.64407608,357,7,3,344.6971148
21,P1010093,7/6/2016,1,213,17.562,51.99877966,1461,7,3,774.6069562
21,P1010093,7/6/2016,16,213,12.744,19.86957242,172,7,3,774.6069562
21,P1010093,7/6/2016,20,213,10.399,10.79557969,932,7,3,774.6069562
24,P1010096,7/6/2016,22,136,7.114,3.456311016,2,7,3,381.8201258
26,P1010116,7/7/2016,4,67,19.22,68.1602827,876,7,3,398.0898818
32,P1010124,7/7/2016,7,139,16.273,41.36891269,2710,7,3,539.110593
33,P1010127,7/7/2016,3,97,9.682,8.712975001,156,7,3,314.9950351
34,P1010134,7/7/2016,3,118,13.656,24.44791108,36,7,3,361.8020891
34,P1010134,7/7/2016,7,118,17.349,50.12963865,85,7,3,361.8020891
36,P1010132,7/7/2016,11,50,7.651,4.299578068,139,7,3,527.8406585
36,P1010132,7/7/2016,13,50,8.228,5.347540496,231,7,3,527.8406585
36,P1010132,7/7/2016,22,50,7.127,3.475293671,440,7,3,527.8406585
36,P1010133,7/7/2016,19,50,7.354,3.818054379,235,7,3,527.8406585
39,P1010140,7/7/2016,7,44,6.055,2.131148317,70,7,3,294.3944818
41,P1010144,7/7/2016,1,93,15.908,38.64719514,344,7,3,639.8644737
41,P1010144,7/7/2016,20,93,10.052,9.750540102,102,7,3,639.8644737
42,P1010149,7/7/2016,2,194,16.065,39.80278152,7,7,3,995.9426676
42,P1010149,7/7/2016,3,194,9.962,9.490975345,3,7,3,995.9426676
42,P1010149,7/7/2016,4,194,8.494,5.883124011,1,7,3,995.9426676
43,P1010148,7/7/2016,1,121,16.966,46.8823768,185,7,3,1040.867643
43,P1010148,7/7/2016,2,121,13.023,21.20334377,15,7,3,1040.867643
43,P1010148,7/7/2016,4,121,17.625,52.56039375,13,7,3,1040.867643
43,P1010148,7/7/2016,5,121,15.591,36.38255107,288,7,3,1040.867643
43,P1010148,7/7/2016,6,121,17.825,54.37006455,202,7,3,1040.867643
43,P1010148,7/7/2016,7,121,12.891,20.56511101,45,7,3,1040.867643
43,P1010148,7/7/2016,9,121,16.262,41.28507741,559,7,3,1040.867643
43,P1010148,7/7/2016,11,121,15.799,37.85820602,41,7,3,1040.867643
43,P1010148,7/7/2016,12,121,15.623,36.60703305,271,7,3,1040.867643
43,P1010148,7/7/2016,15,121,13.145,21.80484503,6,7,3,1040.867643
43,P1010148,7/7/2016,20,121,17.628,52.58723767,278,7,3,1040.867643
43,P1010148,7/7/2016,22,121,16.9,46.3373664,241,7,3,1040.867643
43,P1010148,7/7/2016,23,121,16.63,44.15175597,5,7,3,1040.867643
45,P1010156,7/7/2016,3,77,15.265,34.14771585,3,7,3,489.3096362
2,P1010169,7/13/2016,6,39,11.621,15.06613091,8,8,3,246.8772497
2,P1010169,7/13/2016,7,39,16.932,46.60108329,2,8,3,246.8772497
5,P1010168,7/13/2016,6,229,20.012,76.93832296,57,8,3,916.8282969
6,P1010171,7/13/2016,7,63,18.502,60.80331573,65,8,3,426.6658728
14,P1010187,7/13/2016,4,89,16.633,44.1756548,334,8,3,611.0890613
18,P1010195,7/13/2016,1,57,7.597,4.209181106,1,8,3,543.2594938
19,P1010201A,7/13/2016,1,136,17.07432906,47.78616454,59,8,3,401.9367592
19,P1010201A,7/13/2016,13,136,6.748006219,2.949834534,27,8,3,401.9367592
19,P1010201A,7/13/2016,18,136,6.51464147,2.654255902,1,8,3,401.9367592
21,P1010207,7/13/2016,2,266,8.604,6.114661755,50,8,3,1135.436495
24,P1010210,7/13/2016,15,138,5.551,1.642044472,1,8,3,553.337727
43,P1010259,7/14/2016,10,109,14.804,31.14644343,98,8,3,1097.051167
43,P1010259,7/14/2016,14,109,17.47,51.18585334,21,8,3,1097.051167
43,P1010259,7/14/2016,15,109,17.128,48.23821134,5,8,3,1097.051167
43,P1010259,7/14/2016,18,109,13.589,24.08982965,36,8,3,1097.051167
43,P1010259,7/14/2016,19,109,15.84,38.15370916,15,8,3,1097.051167
43,P1010259,7/14/2016,22,109,16.49,43.04603951,21,8,3,1097.051167
4,P1010283,7/20/2016,4,411,21.718,98.34011672,166,9,3,924.1084142
5,P1010285,7/20/2016,24,143,8.28,5.449570099,82,9,3,1357.860361
9,P1010295,7/20/2016,2,76,6.614,2.777562274,350,9,3,205.7209575
10,P1010296,7/20/2016,7,49,13.132,21.74021603,178,9,3,325.01256
14,P1010299,7/20/2016,8,81,14.851,31.44403908,7,9,3,733.609594
14,P1010299,7/20/2016,10,81,14.71,30.55689707,28,9,3,733.609594
14,P1010299,7/20/2016,12,81,18.349,59.30733852,1,9,3,733.609594
14,P1010299,7/20/2016,20,81,6.713,2.904164247,4,9,3,733.609594
14,P1010299,7/20/2016,22,81,7.133,3.484078288,174,9,3,733.609594
18,P1010306,7/20/2016,19,78,7.339,3.794738873,2,9,3,937.0399627
19,P1010304,7/20/2016,1,95,17.947,55.49410116,162,9,3,498.1385566
19,P1010304,7/20/2016,17,95,7.473,4.006417275,130,9,3,498.1385566
19,P1010304,7/20/2016,18,95,9.131,7.308466513,258,9,3,498.1385566
21,P1010314,7/20/2016,14,235,8.789,6.517628861,50,9,3,1205.913094
24,P1010310,7/20/2016,2,150,13.757,24.99438441,463,9,3,526.8372504
31,P1010340,7/21/2016,20,213,7.711,4.401526718,1,9,3,887.7050796
31,P1010343,7/21/2016,6,213,6.961,3.238069264,60,9,3,887.7050796
31,P1010343,7/21/2016,15,213,7.03,3.335317699,4,9,3,887.7050796
31,P1010343,7/21/2016,24,213,6.395,2.510688767,93,9,3,887.7050796
31,P1010349,7/21/2016,8,213,5.392,1.504945884,53,9,3,887.7050796
31,P1010355,7/21/2016,8,213,5.148,1.309745297,53,9,3,887.7050796
33,P1010346,7/21/2016,14,111,7.321,3.766885797,12,9,3,133.2939892
33,P1010346,7/21/2016,20,111,4.568,0.915059889,175,9,3,133.2939892
37,P1010353,7/21/2016,5,79,7.4765,4.012049161,54,9,3,365.6720923
37,P1010353,7/21/2016,6,79,8.41,5.710303882,410,9,3,365.6720923
37,P1010353,7/21/2016,15,79,7.042,3.352426734,24,9,3,365.6720923
37,P1010353,7/21/2016,23,79,7.11,3.450484138,367,9,3,365.6720923
37,P1010356,7/21/2016,5,79,6.178,2.263679537,62,9,3,365.6720923
37,P1010356,7/21/2016,22,79,3.613,0.452767367,5,9,3,365.6720923
37,P1010356,7/21/2016,23,79,3.764,0.511941194,14,9,3,365.6720923
37,P1010359,7/21/2016,5,79,2.917,0.23827612,62,9,3,365.6720923
40,P1010358,7/21/2016,16,64,5.555,1.645596757,245,9,3,53.70027788
41,P1010360,7/21/2016,23,88,8.855,6.665564413,2,9,3,714.0792364
41,P1010364,7/21/2016,23,88,6.53,2.673072739,2,9,3,714.0792364
41,P1010364,7/21/2016,24,88,7.292,3.722298634,45,9,3,714.0792364
43,P1010368,7/21/2016,5,146,16.058,39.7507744,13,9,3,908.6195189
43,P1010368,7/21/2016,18,146,14.684,30.39515487,11,9,3,908.6195189
44,P1010366,7/21/2016,1,95,12.53516707,18.90869747,85,9,3,232.4809656
44,P1010366,7/21/2016,20,95,6.369996996,2.481355078,145,9,3,232.4809656
5,P1050174,7/27/2016,6,157,19.461,70.75655682,146,10,3,1093.534441
8,P1050180,7/27/2016,4,101,15.863,38.32015047,876,10,3,224.5928081
10,P1050186,7/27/2016,5,48,13.404027,23.11942959,552,10,3,305.1239347
18,P1050203,7/27/2016,12,52,7.127,3.475293671,69,10,3,317.4327437
19,P1050200,7/27/2016,15,112,10.805,12.11003914,919,10,3,247.0519529
21,P1050204,7/27/2016,14,117,15.613,36.53678353,4,10,3,1261.672444
31,P1010386,7/27/2016,7,144,10.518,11.17045163,149,10,3,413.873988
31,P1010386,7/27/2016,12,144,8.725,6.37628235,11,10,3,413.873988
31,P1010397,7/27/2016,14,144,8.009,4.931807469,18,10,3,413.873988
36,P1010401,7/27/2016,1,36,9.543,8.34307225,189,10,3,180.351416
37,P1010409,7/27/2016,4,84,8.771,6.477666221,4,10,3,627.7263439
37,P1010409,7/27/2016,8,84,8.673,6.262954725,2,10,3,627.7263439
37,P1010409,7/27/2016,9,84,8.9,6.7677024,4,10,3,627.7263439
37,P1010409,7/27/2016,19,84,7.516,4.075975335,1,10,3,627.7263439
37,P1010409,7/27/2016,22,84,7.727,4.428982556,3,10,3,627.7263439
37,P1010409,7/27/2016,23,84,8.119,5.137819672,3,10,3,627.7263439
37,P1010409,7/27/2016,24,84,7.669,4.329995513,1,10,3,627.7263439
37,P1010415,7/27/2016,6,84,6.206,2.294597662,68,10,3,627.7263439
37,P1010415,7/27/2016,8,84,6.457,2.58442297,1,10,3,627.7263439
37,P1010415,7/27/2016,16,84,6.71,2.900272426,3,10,3,627.7263439
37,P1010415,7/27/2016,17,84,5.635,1.71772246,4,10,3,627.7263439
37,P1010415,7/27/2016,18,84,6.221,2.311276146,2,10,3,627.7263439
41,P1010408,7/27/2016,15,87,10.824,12.17403606,15,10,3,824.380667
42,P1010410,7/27/2016,18,92,11.529,14.71113397,39,10,3,511.7496629
45,P1010423,7/27/2016,2,69,16.98,46.99853176,139,10,3,241.712147
18,P1010459,8/3/2016,14,38,6.362,2.472021407,70,11,3,258.2315614
41,P1050333,8/12/2016,10,93,6.06,2.136432154,6,12,3,697.3821312
41,P1050333,8/12/2016,17,93,6.941,3.210238998,2,12,3,697.3821312
44,P1050338,8/12/2016,8,72,5.122,1.290000728,1,12,3,428.8893078
45,P1050340,8/12/2016,9,124,6.02,2.094405197,82,12,3,340.7484037
45,P1050343,8/12/2016,23,124,7.991,4.898629855,47,12,3,340.7484037
46,P1050341,8/12/2016,1,68,6.342,2.448780995,3,12,3,435.0621573
18,P1010497,8/17/2016,3,29,12.044,16.7719467,69,13,3,173.1100722
